Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
Midget Moments;EH11 2SN;90030;90030;
Edinburgh Art Festival;EH1 1RF;90030;"68202
90030";www.edinburghartfestival.com
Powderhall Bronze;EH5 1PN;90030;90030;www.powderhallbronze.co.uk
Krazee Capers;EH7 4JE;90030;"90030
93290";www.thelittleprincessstudio.com
The Siancio Singers;EH41 4LJ;90030;90030;www.sianciosingers.com
Pop Pout Experience;EH15 1PU;90030;90030;www.poppoutexperience.co.uk
Unison Kinneil Band;EH51 0LD;90030;90030;www.kinneilband.co.uk
Vue Entertainment;EH1 3EN;90030;"59140
90030";www.myvue.com
Scottish Face & Body Art;EH32 9HW;90030;90030;www.edinburghfacepainter.com
Badabing Live Music Bar & Grill;EH3 9QB;90030;"56302
90030";www.badabingedinburgh.com
Guy Kinder;EH10 5AZ;90030;90030;www.guykinder.co.uk
Dreadnoughtrock;EH48 1AX;90030;90030;www.dreadnoughtrock.com
Jim the Magician;EH2 2PR;90030;90030;www.beyondbeliefmagic.co.uk
Great Leap Forward;EH7 4JP;90030;90030;www.greatleapforward.co.uk
Silvano Entertainment;EH48 1LS;90030;90030;www.magicsilvano.com
Jennifer Thomson;EH4 6BN;90030;90030;www.jenniferthomson.com
Underground Live;EH8 9AJ;90030;90030;www.eusa.ed.ac.uk
Paramount Kids;EH17 7LG;90030;90030;www.paramountkids.co.uk
Innoslate;EH54 5DB;90030;"90030
93120";www.innoflate.co.uk
The Mousetrap;EH6 5EA;56302;"56302
90030";
Harpist Edinburgh;EH4 2PQ;90030;90030;www.harpistedinburgh.co.uk
Jane Raven Art;EH7 4JE;90030;90030;www.janeravenart.co.uk
Blur Productions;EH7 5QZ;90030;90030;www.blurproductions.co.uk
Fern Glass;EH18 1AB;90030;90030;
CORRIES (MUSIC) LTD., THE;EH21 8RY;90030;90030;
THEATRE WORKSHOP SCOTLAND LIMITED;EH4 3BL;59111;"59111
90010
90030";www.theatre-workshop.com
JIM KERR MANAGEMENT CONSULTANCY LIMITED;EH4 3EP;90030;90030;
KMLC LIMITED;EH29 9HE;90030;90030;
LEVDERT LIMITED;EH2 4AD;90030;90030;
WAR PRODUCTIONS LIMITED;EH1 3RS;90030;90030;www.warpro.co.uk
HAMILTON DESIGN LIMITED;EH3 7PE;90030;90030;www.hamiltondesignltd.com
KIRK ENTERPRISES LIMITED;EH54 7DE;62030;"13100
56210
62030
90030";
THE EDINBURGH MELA LIMITED;EH1 3LH;90010;"90010
90020
90030";www.edinburgh-mela.co.uk
CLAYTARA LIMITED;EH7 5HT;90030;"62020
90030";
CARNYX & CO.;EH19 2AA;90030;90030;
ZERO DESIGN LIMITED;EH3 6RS;90030;90030;www.designedbyzero.com
DEBI GLIORI LIMITED;EH41 4NW;90030;90030;
CEILIDH CLUB LTD.;EH16 4SN;90030;90030;
ART AND PAPER LTD;EH2 4PS;90030;90030;
OUTRAGEOUS ART LIMITED;EH10 4DZ;47781;47781;www.outrageous-art.com
ACTING UP LIMITED;EH1 3HP;90030;"59112
85590
90030";www.actingup.co.uk
JOHN REBUS LIMITED;EH3 6AJ;90030;90030;
MEAD KERR LTD.;EH3 6AT;90030;90030;www.meadkerr.com
ADRIAN MEAD LTD.;EH6 8ED;90030;90030;
BRIGHTON COMEDY FESTIVAL LIMITED;EH8 9SU;90030;90030;www.brightoncomedyfestival.com
EUSTACE COMMUNICATIONS LIMITED;EH9 2AX;90030;90030;
ANTHONY WOODD GALLERY LIMITED;EH3 6HZ;47781;47781;www.anthonywooddgallery.com
CRESCENT MOON MUSIC LIMITED;EH21 6EE;62090;"62090
90030";www.crescentmoonmusic.co.uk
BROAD DAYLIGHT LIMITED;EH9 1LX;90030;90030;www.broaddaylightltd.co.uk
JAMES CARTER LIMITED;EH16 5DF;91020;"90030
91020
91030
91040";www.jamescarter.cc
CIRCUS LITERARY AGENCY LIMITED;EH3 6SS;90030;90030;
PORTADOR LIMITED;EH39 5BL;90030;90030;
THE EXHIBITING SOCIETIES OF SCOTTISH ARTISTS;EH3 9GL;90030;90030;www.essa-scottishart.com
MORNINGSIDE GALLERY LIMITED;EH10 4BY;47781;47781;www.stirlingart.com
THE JOHN GORDON ORGANISATION LIMITED;EH15 1AH;62020;"62020
90030";www.john-gordon.scot
TOPSCORE MUSIC LIMITED;EH1 2BB;90030;90030;
NEO PRODUCTIONS;EH12 6JH;90030;"90010
90030";www.neoproductions.com
MARCHMONT GALLERY LIMITED;EH9 1EX;47781;47781;www.marchmontgallery.com
MAN SUNDAY LIMITED;EH21 7TE;90030;90030;
HARMONY RIDGE LIMITED;EH7 4GG;62012;"62012
62020
90030";www.harmonyridgecolours.co.uk
SETON DESIGN LIMITED;EH32 0LJ;90030;"73120
82990
90030";www.setondesign.com
PUBLIC ART COMMISSIONS AND EXHIBITIONS LIMITED;EH15 2EB;90030;90030;www.paceprojects.org
LINKS DESIGN LIMITED;EH4 7AG;90030;"74100
90030";www.linksdesign.co.uk
CHAMELEON MEDIA LTD;EH12 6DT;90030;90030;
DMAC IT LIMITED;EH4 2EU;90030;90030;
UNIFIEDSPACE LIMITED;EH12 6HP;46499;"46499
47910
74100
90030";
SILVER OF THE STARS;EH1 3RH;90030;90030;www.silverofthestars.com
SPARKLE ARTS LTD.;EH10 6AD;90030;90030;www.sparklearts.co.uk
C.I.H.K. LIMITED;EH1 2BB;90030;90030;
THE BOY FITZ HAMMOND LIMITED;EH7 5UN;90030;90030;
PICODELIQ ENTERPRISES LIMITED;EH2 2AZ;62090;"47910
62020
62090
90030";www.picodeliq.com
TC EVENTS CONSULTANCY  LIMITED;EH5 2NY;90030;90030;www.tceventsconsultancy.com
BLUES & GREENS LIMITED;EH39 4JF;47781;47781;www.bluesandgreens.co.uk
AMY MACDONALD TOURING LTD.;EH2 4AD;90030;90030;
THINKTASTIC LTD.;EH6 7BD;90030;90030;
LUCKY FRAME LIMITED;EH8 7AJ;58290;"58290
90030";
GREENS & BLUES LIMITED;EH39 4HG;47781;47781;www.greensandblues.co.uk
LOST VALUES LTD.;EH6 7BD;46160;"32409
46160
74100
90030";
WILSON SMILLIE & COMPANY LTD.;EH4 5BP;62020;"62020
90030";
REALLY INTERESTING OBJECTS C.I.C.;EH10 5LY;58190;"47910
58190
90030";www.reallyinterestingobjects.co.uk
DRUMOND DEVELOPMENTS LIMITED;EH3 9EE;90030;90030;
ALPHA ART LIMITED;EH9 1SE;90030;"90030
90040";www.alpha-art.co.uk
PROCESS PRODUCTION SERVICES (SCOTLAND) LTD;EH8 7EN;70229;"70229
90030";http://processproduction.co.uk
LAME DUCK PRESS LIMITED;EH21 6QZ;90030;90030;
BEYOND BORDERS PRODUCTIONS LIMITED;EH44 6PW;90030;"90010
90020
90030";www.beyondbordersscotland.com
TWENDE PAMOJA ENTERPRISES CIC;EH8 7HF;90030;90030;
DOUBTFIRE LIMITED;EH12 5AH;47781;47781;www.doubtfiregallery.com
SILVERHUB STUDIOS LIMITED;EH7 5AN;90030;90030;
BON PAPILLON LTD;EH7 4JE;47781;"47781
56102";www.bonpapillon.com
THE RED DOOR GALLERY LTD;EH1 2JW;47781;47781;www.edinburghart.com
SPECTRUM ARTS EDINBURGH LIMITED;EH1 1NA;85520;"85520
90030";www.mainline319.co.uk
LAUREN GOLLAN LIMITED;EH10 6TX;90030;90030;
TRANSGRESSIVE NORTH;EH8 7HF;90030;90030;
SUSAN RUTHERFORD LIMITED;EH11 4EJ;85590;"47710
85590
90030";
THE EDINBURGH DRAWING SCHOOL LIMITED;EH3 6QW;90030;90030;www.edinburghdrawingschool.co.uk
EMILY HOGARTH LTD;EH21 7PL;90030;90030;
WINTER PALMS LIMITED;EH1 2BB;90030;90030;
BRUCE PERCY PHOTOGRAPHY LIMITED;EH6 7PT;79120;"79120
90030";www.brucepercy.co.uk
SIGNER LIMITED;EH1 2BB;90030;90030;
MURRAYCREATIVE LIMITED;EH52 5AU;90030;90030;
RED CAT COMMUNICATION LIMITED;EH7 4EF;90030;90030;
SPUR TRADING LTD;EH22 3HL;46499;"46499
47890
47990
90030";
ALIVE ARTS LTD;EH35 5HS;90020;"90020
90030";www.artalive.org.uk
FIDRA FINE ART LIMITED;EH39 5PX;47781;47781;
MIKAWILDUS LIMITED;EH1 2BB;90030;90030;
THE EDINBURGH DESIGN SCHOOL LIMITED;EH10 5XB;85320;"85320
90030";
NICK DRAINEY MEDIA LTD;EH49 6QG;90030;90030;
WALLACE BUSINESS CONSULTING LIMITED;EH2 4AT;70229;"47781
47890
70229";
SHRIGLEY ART LIMITED;EH1 2BB;90030;90030;
OCTOPHIE LIMITED;EH45 9JL;90030;90030;
FOURTH WORLD ART;EH9 1RA;47890;"47890
47910
90030";
PIXEL STAG LTD;EH25 9PU;90030;90030;www.pixelstag.com
KALOPSIA C.I.C.;EH6 7HP;90030;"13300
14190
90030";www.kalopsiacollective.com
DOUBLE TAKE PROJECTIONS LTD;EH12 8GG;59111;"59111
59140
90030";www.doubletakeprojections.com
DOHERTY CREATIVE LIMITED;EH7 5LA;74100;"74100
90030";
THE CRAFTY KIT COMPANY LTD;EH40 3AA;90030;90030;www.craftykitcompany.co.uk
RED HOT AND BLUE TATTOO LIMITED;EH3 9HW;90030;90030;
ANIMATION GARDEN LTD.;EH9 1PL;59112;"59112
59120
90030
91020";www.animation-garden.com
STOIRM OG LTD;EH8 7AH;90030;90030;www.stoirm-og.com
TAPESTRY TRADING (SCOTLAND) LTD;EH1 2AX;85520;"85520
90030";
HEALTHY HEMP PRODUCTS LTD;EH20 9LZ;90030;"11070
90030";www.pixal-gs.com
ASCUS ART & SCIENCE;EH9 1QH;90030;90030;
RED SKY AT NIGHT EVENTS LIMITED;EH18 1LW;82301;"82301
90030";
HD ARTS PRODUCTIONS COMMUNITY INTEREST COMPANY;EH7 6AG;90020;"90020
90030";
WHITE HAVEN ANALYSIS LTD;EH6 4SA;70229;"70229
90030";
AD&D PRODUCTIONS LTD;EH6 6SG;90030;90030;
ST. CLAIR'S TATTOO STUDIO LTD.;EH15 1AN;90030;90030;www.claresliferarchitects.com
SCRIBE TATTOO LTD;EH3 8HP;90030;90030;www.scribetattoo.com
ED LITTLEWOOD PRODUCTIONS LIMITED;EH6 8RG;90030;90030;www.edlittlewood.com
GRACIELA AINSWORTH SCULPTURE CONSERVATION LIMITED;EH6 5QG;90030;90030;
SOUNDS FROM SCOTLAND LTD;EH54 7EN;90030;90030;
BLUE 1010 LIMITED;EH1 1DR;90030;90030;
ATELIER E.B LIMITED;EH6 6AY;90030;90030;
INDUSTRY COTTAGE LIMITED;EH23 4JT;90030;90030;
FREAK DESIGN LIMITED;EH2 1EA;62020;"62020
62090
90030";www.freakwebdesign.co.uk
MAMOOK GRAPHICS LIMITED;EH2 4BB;90030;90030;
ROB ANDERSON ILLUSTRATION LIMITED;EH22 3BL;90030;90030;
DARREN WOODHEAD LIMITED;EH45 8AT;90030;90030;
LIGHT BULB ARTS LTD;EH16 6LL;90030;90030;
LEPUS PRODUCTIONS LTD;EH37 5QF;85520;"85520
90010
90020
90030";
SLATEFORD ASSOCIATES LTD;EH41 4JB;70229;"70229
90030";
HEAVY SOUND C.I.C.;EH17 8PE;85600;"85600
90020
90030
93199";
TEN THOUSAND THINGS FABRICATION LTD;EH6 7BD;90030;90030;
KEELWORKS LTD;EH6 7BD;58210;"58210
59120
59200
90030";
BLACK 365 LTD;EH3 9LZ;90030;90030;
MUDO ART LTD;EH5 1RT;47781;47781;
PERSONA MARQUE LIMITED;EH1 1SW;90030;90030;
CHERITH HARRISON LIMITED;EH6 8EN;90030;90030;www.cherithharrison.com
THUNDERBOLT PROJECTS LTD;EH3 6AD;90030;90030;
JUVAT LIMITED;EH13 9BZ;90030;90030;
DEMARCO ARTWORKS LIMITED;EH9 1PL;90030;90030;
ANNA BARR INTERIORS LTD.;EH29 9FL;90030;90030;
ANDREW COTTEE MUSIC LTD;EH42 1XP;90030;90030;
WAYMARKER MUSIC LTD;EH21 6QJ;90030;90030;
FLAMINGOSAURUS REX LTD.;EH10 4HN;47781;47781;www.flamingosaurusrex.com
ALL IN HAND EVENTS LTD;EH6 6JA;90020;"90020
90030";
QUBRIK LIMITED;EH3 9GZ;59112;"59112
90030";
CROSSFIRE CREATIVE LIMITED;EH15 2RA;90030;90030;
C M FEARON LIMITED;EH32 0DW;90030;90030;
INSPIRE CRAFTS EDINBURGH LIMITED;EH39 5NH;90030;90030;
ADEPT ART COLLECTIVE LTD;EH11 4SA;90030;90030;
RA-ERXCELLENCE LTD.;EH52 6PN;90030;"47640
85510
90030";
BLANDSMITH LIMITED;EH6 5EF;47710;"47710
47910
90030";
SHINY TOWN LTD.;EH3 6AT;90030;"90030
93290";
CHRISTOPHER HAMILTON LIMITED;EH15 1EA;90030;90030;
NINE LINER LTD;EH52 5AF;90030;90030;
EVERGREEN COWORKING STUDIO LTD;EH1 1TE;59112;"59112
62020
73110
90030";
EDINBURGH ANTIQUES CENTRE LTD;EH6 5JY;47599;"47599
47770
47781
47791";
GO! BANG! CREATIVE LIMITED;EH6 8ED;70210;"70210
90030";
WE THROW SWITCHES LTD;EH7 5UJ;90030;90030;
THE OUTSIDER MOVIE COMPANY LIMITED;EH34 5DP;90030;90030;
MAKADU LIMITED;EH7 4BN;90030;90030;
JAMES CHARKOW LTD;EH7 5QU;90030;90030;
PR2US LIMITED;EH54 6AX;90030;90030;
CIVIC SOUP COMMUNITY INTEREST COMPANY;EH7 4LA;71112;"71112
88990
90030";
YGEITS LIMITED;EH8 8EW;14132;"14132
47710
47910
90030";
ART & CRAFT COLLECTIVE LIMITED;EH9 2BP;47781;47781;
MIRACLES ARE LIMITED;EH1 2BB;90030;90030;
INDIAN ARTS CONNECTION LIMITED;EH14 5BH;85520;"85520
90010
90020
90030";
STRAMASH FILMS LTD.;EH6 4LG;90030;90030;
EUREKA EDINBURGH LIMITED;EH41 3LL;90030;90030;
GOOD THINKING PR LTD;EH5 3DL;70210;"70210
70229
82301
90030";www.goodthinkingpr.co.uk
PIGLIT ANIMATION LTD;EH32 0JF;90030;90030;
EDINBURGH PEOPLE LTD;EH33 2QJ;90030;90030;
HANIHAT LIMITED;EH2 1EN;90010;"90010
90020
90030
93199";
LC KATARZIA TATTOO LTD;EH52 6XU;90010;"90010
90030";
