Company name;Postcode;Primary UK SIC (2007) code;Website;Secondary UK SIC (2007) codes
TECKLE DIGITAL LIMITED;EH15 2RE;62012;www.teckledigital.com;"62012
73110"
COMBRITECH LTD;EH1 3QB;73110;;73110
COASTAL RECRUITMENT & ATTRACTION LIMITED;EH42 1GR;73110;;73110
ALCOPY LIMITED;EH6 4NU;73110;;73110
CIRCA HEALTHCARE LIMITED;EH3 5DQ;73110;;73110
EVERGREEN COWORKING STUDIO LTD;EH1 1TE;59112;;"59112
62020
73110
90030"
GOOD.LOOP LTD;EH7 4LX;62012;www.good-loop.com;"62012
73110"
THE YOUTH RADIO NETWORK LIMITED;EH23 4AG;60100;;"60100
73110"
EXTRA PROFIT MARKETING LTD;EH16 6GE;63990;;"63990
73110"
ALWAYS BE CONTENT LIMITED;EH7 4ZD;73110;;73110
MONUMENTUM BRANDS LTD;EH6 6BZ;70210;;"70210
73110"
PROPELLOR CONSULTING LTD;EH1 2BB;73110;;73110
ALMOST.GRATIS LTD;EH2 3JG;47910;;"47910
73110"
CAPITAL LEISURE LTD;EH3 6RE;63120;;"63120
73110"
SILVERSPRINGS LIMITED;EH4 7EE;73120;;73120
MIKES BITS LTD;EH2 1DY;70229;;"70229
73110"
TODAY AGENCY LTD;EH2 4AD;70229;;"70229
73110"
ALLIEN LTD;EH2 3JG;70229;;"64999
70229
73110"
IGM VENTURES LTD;EH5 1FX;73110;;73110
BRIDGE INTERACTIVE MEDIA UK LTD;EH4 3BL;70229;;"70229
73110"
CHECKPOINT MEDIA LTD;EH10 4QE;73110;;73110
FOXVISITS LTD;EH2 3JG;63120;;"63120
73110"
VICTORIA ROY CONSULTING LIMITED;EH9 2LQ;73110;;73110
MORE YUM STUDIO LTD;EH6 6SB;62012;;"62012
73110"
MAVERICK WORDS LIMITED;EH7 4HG;70229;;"70229
73110"
8760 LIMITED;EH3 6RE;73110;;73110
WORLD HEADQUARTERS LTD;EH39 4JZ;73110;;73110
GIS MASTERS LTD;EH48 1PS;73110;;"73110
93120"
NO LOGO MEDIA LIMITED;EH51 9DP;73110;;"73110
73120
73200"
SEO FIFE LTD;EH1 3QB;73110;;73110
PRODIGIMAX LTD;EH11 3RY;73110;;73110
CANAL HOLDINGS LTD;EH39 4QX;70210;;"70210
70229
73120
78109"
CHERRYTOP LTD;EH3 6RE;73110;;73110
FORTH BRIDGE ASSOCIATES LTD;EH12 5AU;73110;;73110
MULTI BUSINESS MEDIA LTD;EH2 4JB;73120;;"73120
74100"
ALTITUDE MEDIA MANAGEMENT (EDINBURGH) LTD;EH41 3RY;73110;;73110
