Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
Riccio Gallery;EH22 1AH;90040;"32990
90040";www.ricciogallery.com
Tweeddale Museum & Gallery;EH45 8AG;90040;90040;www.liveborders.org.uk
The West End Gallery;EH49 7AH;32990;"32990
90040";www.thewestendgallery.co.uk
The Torrance Gallery;EH3 6JN;90040;90040;www.torrancegallery.co.uk
Banana Row Music School;EH3 5EY;90040;90040;www.bananarow.com
The Sonic Lodge;EH6 4AD;90040;90040;www.soniclodge.co.uk
Hangar Art & Framing;EH39 5BW;32990;"32990
90040";www.hangarframing.com
Buro Art;EH6 5HG;90040;"90030
90040";www.buroart.co.uk
Breeze;EH45 9BU;90040;90040;www.breeze-home.co.uk
Colinton Arts;EH13 0LQ;90040;"32990
90040";www.colinton-arts.com
Breeze;EH45 8SW;90040;90040;www.breeze-gallery.co.uk
Ritchie Collins Gallery;EH6 6ED;90040;"90030
90040";www.ritchiecollinsgallery.co.uk
Bass Rock Framing & Gallery;EH42 1JJ;32990;"32990
90040";www.bassrockgallery.co.uk
Kings Theatre;EH3 9LQ;90040;90040;www.edtheatres.com
Tippecanoe;EH39 4HH;90040;"47190
90040";www.tippecanoe.co.uk
Alpha Art;EH3 5AX;90040;"47789
90040";www.alpha-art.co.uk
Breeze Art Gallery;EH2 2YJ;90040;90040;www.breeze-gallery.co.uk
Lammermuir Festival;EH41 4DA;90040;90040;www.lammermuirfestival.co.uk
Super Cube;EH2 2LR;90010;"56302
90010";www.supercube.biz
Open Eye Gallery;EH3 6QE;90040;90040;www.openeyegallery.co.uk
Usher Hall;EH1 2EA;90040;90040;www.usherhall.co.uk
David Watson Music Tuition;EH10 5JR;85590;"85590
90040";
Split Level Studios;EH28 8NQ;90040;90040;
Offbeat Music Productions;EH1 1SW;90040;90040;www.offbeat.co.uk
Edinburgh Palette;EH7 6AE;90040;"90030
90040";www.edinburghpalette.co.uk
Festival & Kings Theatres;EH8 9FT;90040;90040;www.edtheatres.com
The Dancing Light Gallery;EH46 7BB;90040;90040;www.dancinglightgallery.co.uk
Stick Factory Creative Projects;EH9 3AA;90040;"74100
90040";www.stickfactory.co.uk
Scottish National Galleries;EH2 2EL;90040;90040;www.nationalgalleries.org
The Forest;EH3 9JN;90040;"56103
90040";www.theforest.org.uk
Edinburgh Hindu Mandir & Cultural Centre;EH6 7EG;94910;"90040
94910";www.edinburghhindumandir.org.uk
Sound Sound;EH28 8NQ;90040;90040;www.soundsound.co.uk
Arusha Art Gallery;EH3 6QG;90040;90040;www.arushagallery.com
