Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
TIME LAPSE SCOTLAND LTD;EH4 3PP;59111;59111;www.timelapsescotland.co.uk
D.A.O. ROBERTSON LTD;EH9 1JT;59112;59112;
DANGEROUS STUDIO LIMITED;EH6 6AY;59112;59112;www.dangerous.studio
ROGUE CITY PRODUCTIONS LIMITED;EH3 5QX;59112;59112;
THE SOUND OF YOUNG SCOTLAND LTD.;EH41 3JS;59111;59111;
EYEBOLLS LIMITED;EH3 7PE;59111;59111;
MOTIONCRAFT LIMITED;EH4 1JS;59111;59111;www.motioncraft.co.uk
CINE COLOURS ENTERTAINMENT LIMITED;EH14 5TW;59131;59131;www.accenar.com
KEELWORKS LTD;EH6 7BD;58210;"58210
59120
59200
90030";
FILMING SCOTLAND LTD;EH7 4DE;59112;59112;www.filmingscotland.com
FOND FILMS LIMITED;EH9 1PL;59112;59112;
POWELLITE C.I.C.;EH3 5LU;59112;"59112
63110
74909
82302";
TWIST OF LIME PRODUCTIONS LTD;EH7 5ET;59112;59112;
PRODUCTION 5 LIMITED;EH8 7AN;90020;"59112
90020";
IMAGES ABOVE LIMITED;EH49 7BJ;59112;59112;
CUTTING ROOM POST PRODUCTION LTD;EH3 9ND;59120;59120;
QUBRIK LIMITED;EH3 9GZ;59112;"59112
90030";
MASHLEY MEDIA LIMITED;EH52 6LT;59112;59112;
LOCATION SERVICES (SCOTLAND) LTD;EH10 5NE;59111;"59111
59113";
RELATIVE FILMS LTD;EH14 5JJ;59111;"59111
59112
59120
59131";
EVERGREEN COWORKING STUDIO LTD;EH1 1TE;59112;"59112
62020
73110
90030";
BALLDAN PRODUCTIONS LIMITED;EH6 6SE;59111;"59111
59112
59113
59120";
SELLOUTPICTURES 2A LTD;EH6 6RR;59111;59111;
HEARTHSAGA LIMITED;EH6 8RG;59111;"59111
59113
59120";
DAYSIX FILM LIMITED;EH3 9DS;59112;59112;
CKTR SERVICES LIMITED;EH6 4SE;59112;"59112
69201
69202
69203";
CORRESPONDENT MEDIA LIMITED;EH1 2AE;59112;59112;
COOLBILLBOARDS LIMITED;EH6 6RR;59131;59131;
THE THIEF OF BRISCO LTD;EH1 3LH;59111;59111;
JL LEADERSHIP & MEDIA CONSULTING LTD;EH10 5AL;58110;"58110
59112
70210
70229";
DIGITAL ORCHARD SCOTLAND LTD;EH13 0EA;59111;59111;www.digitalorchardgroup.com
ARIES FILM AND TV LTD;EH10 6LS;59111;"59111
59113";
TRANSFERMAGIC LIMITED;EH7 4JE;18202;18202;
AERIAL FOCUS SCOTLAND LTD;EH4 5AT;59112;"59112
74202";
AMG 99 LIMITED;EH12 7XD;68100;"59112
68100";
QUARK TV PRODUCTIONS LTD;EH12 9DQ;59112;"59112
59113";
2BLIND2DRAW LTD;EH2 3JG;58210;"58210
58290
59112
90030";
PINNACLE MEDIA PRODUCTIONS LIMITED;EH2 3JG;59112;59112;
MATRIX ADVANCED NDT INSPECTION SERVICES LIMITED;EH3 6AD;41100;"41100
59112
71111
71129";
ARMS AND LEGS LTD;EH18 1DD;74100;"59112
74100";
