Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
THE CHIPPENDALE SCHOOL OF FURNITURE;EH41 4JA;31090;"31090
85590
96090";www.chippendaleschool.com
THE DOVETAIL JOINT LIMITED;EH42 1RF;31020;"31020
31090";www.thedovetailjoint.co.uk
LYON & TURNBULL LIMITED;EH1 3RR;47791;47791;www.lyonandturnbull.com
ALL FIRED UP LTD.;EH2 1DF;31090;31090;www.all-firedup.com
ALISTIR TAIT (ANTIQUE & FINE JEWELLERY) LIMITED;EH52 5AU;47770;"47770
47791";www.alistirtaitgem.co.uk
DAVID ROBINSON DESIGN LTD.;EH39 5BL;31090;31090;www.davidrobinsondesign.com
ASSURED UPHOLSTERY LTD;EH33 2EB;95240;95240;www.assuredupholstery.bt.com
GLASGOW ARCHITECTURAL SALVAGE LIMITED;EH6 7NL;47791;"47791
47799
47910";www.glasgowarchitecturalsalvage.co.uk
CHARLOTTE JAMES FURNITURE LIMITED;EH20 9QR;31090;31090;www.charlottejamesedinburgh.co.uk
FETTES FINE ART LTD;EH3 6RH;47791;47791;
EDINBURGH ANTIQUE RESTORATION LIMITED;EH17 8RX;95240;95240;www.edinburghantiquerestoration.co.uk
CLOCKHOUSE FURNITURE LIMITED;EH39 5AW;31090;31090;www.clockhouse-furniture.co.uk
DUNCAN C HOOD LIMITED;EH45 9DJ;32120;32120;
DALMENY JOINERY LTD;EH30 9SL;43320;"31090
43320";www.dalmenyjoinery.co.uk
PATIENCE JEWELLERY LIMITED;EH7 4JE;32120;32120;www.patiencejewellery.com
FORTH ART FRAMING LIMITED;EH21 7UL;16290;16290;
SXP DESIGNS LTD.;EH22 3DP;32120;32120;www.sxpdesigns.co.uk
R L CHRISTIE WORKS OF ART LTD;EH4 3AP;47791;47791;
CARMICHAEL SALES LTD;EH10 5LZ;32120;32120;
INDO-UK EARTHYTONES LIMITED;EH4 5LB;13990;"13990
32120
47890
47990";
EBL ANTIQUES LTD;EH22 3AR;47791;47791;
METHOD STUDIO LTD;EH49 6PL;31090;31090;www.methodstudio.co.uk
M P BATHROOMS LTD;EH14 5NY;31090;31090;www.splash-bathrooms.net
HANNAH LOUISE LAMB LTD;EH2 3ES;32120;32120;
DWA CONSULTING LTD;EH49 7BD;62090;"32120
62090";www.dwacl.co.uk
THE WOOD NEUK LIMITED;EH45 9NB;31090;31090;
BEN DAWSON LIMITED;EH17 8UU;31090;31090;
LADY GERALDINE DESIGNS LIMITED;EH12 9DN;32120;32120;www.ladygeraldinedesigns.com
LAURA SMITH GLASS LTD;EH3 6AJ;23190;23190;www.laurasmithglass.com
RF SLIGHT TIMBER SUPPLIES LTD.;EH33 2LG;16230;"16230
16290";www.rfslight-timber.co.uk
DEVINE UPHOLSTERY LIMITED;EH6 6RR;95240;95240;http://devine-upholstery.co.uk
ROC WORKSHOPS LTD;EH46 7BH;31090;31090;
DRENNAN & STURROCK LTD;EH12 6DT;47791;47791;
VERY VINTAGE SHOP LTD;EH10 4ES;47791;47791;www.veryvintageshop.co.uk
NITTEN CRAFTS LTD;EH22 4NR;31090;31090;
MARIA INTERIOR DESIGN LTD;EH51 9HA;31090;31090;
WOODMARK LIMITED;EH48 1SA;31020;"31020
31090";
DIGGIN FURNITURE LIMITED;EH22 3LJ;31090;31090;www.digginfurniture.com
HKD SOLUTIONS LTD;EH45 9BU;31090;31090;www.hkdsolutions.com
TWENTIETH CENTURY ANTIQUES LIMITED;EH6 6RR;47791;47791;
EDINBURGH JEWELLERY REPAIR LTD;EH54 5PR;32120;32120;
BACKSTORY LIMITED;EH2 2PR;31010;"31010
31090
70229";
L F GRAY STAIRMAKERS LTD;EH7 5UJ;31090;31090;
TEA & SYMPATHY SCOTLAND LIMITED;EH11 1RF;47110;"47110
47599
47791";
EDINBURGH ANTIQUES CENTRE LTD;EH6 5JY;47599;"47599
47770
47781
47791";
THE COMMEMORATIVE COIN COMPANY LIMITED;EH10 5NE;47791;47791;
AMB BLOOMSBURY LIMITED;EH41 3QD;47791;47791;
UNIT 11 FABRICATIONS LIMITED;EH36 5PP;31090;31090;
EASYFIT FENCING LTD;EH26 0LU;16290;16290;
SUPRAMOBILI LTD;EH30 9BJ;31090;"31090
47890
47910
71121";
COLINTON SCOTLAND LIMITED;EH21 6BB;31090;31090;
EDINBURGH CRAFT STUDIO LIMITED;EH9 1SA;32120;32120;
WEE RED UPCYCLES CIC;EH41 3QQ;47599;"47599
85590
90030
95240";
OGILVIES OF HADDINGTON LIMITED;EH41 4DY;31010;"31010
31020
31090";www.ogilvies.scot
TIMBEX CREATIONS LTD;EH22 3FG;31090;31090;
MCPHERSON DAY LTD;EH7 4JE;47791;47791;
WOODEN HOUSE DELUX LTD;EH47 7PQ;16290;"16290
41202
68320";
JOHNSTON & DEANS UPHOLSTERY LIMITED;EH51 9UD;95240;95240;
OAKWOOD COOPERAGE LTD;EH2 4AD;16290;16290;
CHERISH VINTAGE TEAROOM & EMPORIUM LTD;EH31 2HB;47789;"47789
47791
56102";www.cherishvintagetearoomemporium.co.uk
REBORN IN A BARN LTD;EH30 9TF;31090;31090;
EWING AND WRAGG LTD;EH1 2BB;32120;32120;
ASHLEY PROPERTY CARE LTD;EH22 5DX;43310;"43310
43341
95220
95240";
THIS IS IAN LTD;EH6 8RG;32120;32120;
SIGNATURE HOME SERVICES LIMITED;EH21 6AS;95240;95240;
STIRLING DESIGN LTD;EH45 9LF;31090;31090;www.adampurves.com
SIQIU HANDMADE LTD;EH14 1DJ;15120;"15120
32120
47890
47910";
SURFACE TECH LTD;EH19 2AZ;95240;95240;
REMADE NETWORK LTD.;EH2 2PR;74901;"74901
85590
95110
95240";
ANNA GRACE LTD;EH47 7PQ;10710;"10710
23410
47290
47990";
COLIN PARKER FURNITURE LIMITED;EH6 5PY;31090;31090;
SCOTT FURNITURE & TEXTILES LTD;EH12 8JH;31090;"31090
95240";
KOPPLA LTD;EH39 5PQ;31090;31090;
ILLUSION FINE FINISHERS LTD;EH19 2PF;95240;95240;
RUSTIC INTERIORS LTD;EH14 7HZ;31020;"31020
31090";
BOARDKITS LTD;EH6 5ER;31090;31090;
ZEMPHIRA (UK) LTD;EH2 1AW;32120;32120;
EDINBURGH JEWELLERS LTD;EH54 5PR;32120;"32120
95250";
HOME HAVEN GROUP LIMITED;EH12 7PJ;31090;"31090
47910";
CAITHNESS GLASS LIMITED;EH14 5LZ;23130;23130;
FURNITURE MAHAL PRIVATE LIMITED;EH7 6DW;16100;"16100
31010
31020
31090";
KUSTOM WRAPS LTD;EH47 9JS;95240;95240;
SOFA & CHAIR REPAIR LIMITED;EH7 4JZ;95240;95240;
HERRON VINTAGE LTD;EH10 5HJ;47791;"47791
55209";
VARUM LTD;EH260FP;23120;"23120
23190
43210";
OMNI WILLOW JEWELLERY LTD;EH52 6FF;32120;32120;
RETROBLIND LTD;EH7 5TZ;31090;31090;
CHRISTELLE CHAMBERLAND LTD;EH7 4BN;32120;32120;
EXPERT TOUCH LTD;EH7 4HN;13921;"13921
31090
55100";
KNOTS ABOUT RUGS LIMITED;EH5 2GH;47791;47791;
APEX SURFACE REPAIRS LTD;EH21 6RB;43390;"43390
43999
95240";
EDINBURGH WARDROBES LTD;EH3 9PW;31090;31090;
SILVA RERUM LTD;EH26 0FP;20411;"20411
23120
23410
43341";
RUSTIC RIDGES LTD;EH4 4UF;31090;31090;
PETTICLEM - THE EDINBURGH WAX CO. LTD;EH6 8PU;23410;"23410
98100";
CALEDONIA GARDEN ROOMS LTD;EH2 3JG;31090;31090;
TROTTERS INDEPENDENT JEWELLERS LIMITED;EH3 6RE;47791;"47791
47799
82990";
FUR AND FEATHERS INC. LIMITED;EH42 1XL;16230;"16230
16290";
AMPLE SPACE PROPERTIES LIMITED;EH10 4QQ;08110;"08110
41100
43390
95240";
EDINBURGH SURFACE REPAIRS LTD;EH16 5RQ;95240;95240;
EDINBURGH WHISKY BARREL CREATIONS LTD;EH16 4BF;16290;16290;
DONALDSON & COMPANY AUCTIONEERS AND VALUERS LTD;EH7 6BE;47791;47791;
