Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
Capital Group UK;EH52 5NF;58110;"18129
58110";www.capitalgroupuk.com
Gardner Molloy Stone Carving;EH32 0HL;23700;"23700
90030";www.gardnermolloy.co.uk
Annie D Body Art;EH15 1AH;90030;90030;www.edinburghfacepainter.com
Schoolhouse Management;EH1 3HU;90030;90030;www.schoolhousemanagement.co.uk
Kiln & Cutter Stained Glass Studio;EH39 5BW;90030;90030;www.stainglassscotland.com
Gilded Balloon;EH6 6JA;90030;90030;www.gildedballoon.co.uk
Fantastic Scotland Print Design Promotion;EH6 4PA;18129;"18129
47710";www.fantasticscotland.co.uk
Quota Print;EH21 6JE;18129;18129;
Buro Art;EH6 5HG;90040;"90030
90040";www.buroart.co.uk
Elmbank Print;EH45 8HU;58190;"58190
82990";www.elmbankprint.co.uk
Protocol UK;EH35 5JB;18121;"18121
18129";www.protocoluk.co.uk
Graham Riddell Photography;EH44 6QQ;74209;"74209
90030";www.grahamriddellphotography.co.uk
Key Printing Services;EH6 6SA;18129;18129;www.keyprintingservices.com
United News Service;EH1 1LB;63910;63910;
Deadline News;EH6 5JW;63910;63910;www.deadlinenews.co.uk
Agency for Legal Deposit Libraries;EH9 1PH;58190;58190;www.legaldeposit.org.uk
The Magic Max Show;EH22 5AA;90030;90030;magicmax.co.uk
West Lothian Herald & Post;EH4 2HS;58130;58130;www.scotsman.com
Bester Signs & Printing;EH45 8AW;18129;"18129
31010";www.besterartgraphix.com
T E S Global;EH15 2NJ;58130;58130;www.tesglobal.com
Ritchie Collins Gallery;EH6 6ED;90040;"90030
90040";www.ritchiecollinsgallery.co.uk
G M P Print Solutions;EH20 9LZ;18129;18129;www.gmpprint.co.uk
Barr Printers;EH6 6LU;18129;18129;www.barrprinters.co.uk
Popeyes Bouncy Castles;EH54 8FB;93290;"90030
93290";www.popeyesbouncycastles.com
Or Ceilidh Band;EH11 1LN;90030;"90030
96090";www.orscotland.com
Macset;EH26 8NF;18130;18130;
The Blackjacks;EH13 0QF;90030;90030;www.theblackjacks.co.uk
P M Solutions;EH20 9HX;73110;"18129
73110";www.pmsol.co.uk
Kerr Martin Songwriting & Production;EH51 9SZ;90030;90030;
Bob Weir Freelance Writer;EH54 7BE;63910;63910;www.albaclassics.com
M C Squared;EH6 5NX;18129;"18129
18140";
Redten;EH21 6SY;58190;58190;www.willowgreetings.co.uk
Gary James Magician;EH4 2QN;90030;90030;www.stonethecrow.co.uk
W D & F Hendry;EH19 2HB;96090;"90030
96090";www.weddingorganist.com
Flotsam & Jetsam;EH16 5JR;90030;90030;www.flotsamandjetsam.co.uk
Lucy Locket;EH30 9JF;58190;58190;
Ceilidh Experience;EH9 2DF;90030;90030;www.ceilidhexperience.com
Stiven Christie Management;EH3 9JD;90030;90030;
Stephen Reynolds;EH8 7JN;62090;"18130
62090";
Edinburgh Palette;EH7 6AE;90040;"90030
90040";www.edinburghpalette.co.uk
Sheila Maclean Art;EH5 2PU;90030;"47599
90030";www.sheilamaclean.co.uk
Gig Guide;EH26 8ES;58110;58110;www.gigguide.co.uk
Cool Reception;EH35 5LL;96090;"90030
96090";www.coolreception.com
Clarsach Society;EH6 8RG;90030;"88990
90030";www.clarsachsociety.co.uk
The Scotsman Publications;EH4 2HS;58130;58130;www.scotlandonsunday.com
Freak Music;EH2 1EA;93290;"90030
93290";www.freakmusic.co.uk
Customize Screen Print & Embroidery;EH25 9RE;13300;"13300
18129";www.customizeprint.co.uk
Piper for All Occasions;EH4 7QE;90030;90030;
Cdflyers;EH11 2SN;18203;"18130
18203";www.cdflyers.co.uk
Cameron Taylor;EH3 6QQ;90030;"14390
90030";www.cameron-taylor.com
The Hardie Press;EH32 9JH;58190;58190;www.hardiepress.co.uk
Gordon's Magic & Puppets;EH8 8JD;90030;90030;www.gordonsmagicandpuppets.co.uk
Hen Party Edinburgh;EH2 4AS;90030;"90030
96090";www.hen-party-edinburgh.co.uk
Bellydancingbarbie;EH3 9AF;85590;"85590
90030";www.bellydancingbarbie.com
Stellar Quines Theatre Company;EH3 9AX;90030;"88990
90030";www.stellarquines.com
Pixal Print;EH20 9LZ;82990;"18129
82990";www.pixalprint.com
Central Printing;EH26 9JH;58190;"18129
58190";
Roddy Piper;EH11 1PP;90030;90030;www.roddythepiper.com
Snopeak Events;EH54 6HE;93290;"90030
93290";www.snopeak.com
Sporrandipity-ceilidhs With Attitude;EH14 7HU;90030;90030;
Rear View Music;EH12 5QF;85590;"85590
90030";www.rearviewmusic.co.uk
Edinburgh Art Glass;EH6 4ER;90030;90030;www.edinburghartglass.co.uk
Monkey Music - Edinburgh South;EH10 5AG;85590;"85590
90030";www.monkeymusic.co.uk/area/morningside-pentland
Scottish Field;EH5 2DL;58110;58110;www.scottishfield.co.uk
Anna Wright;EH7 4JE;58190;"32990
58190";www.annawright.co.uk
Potter Around;EH27 8DD;23490;"23490
90030";www.potteraround.co.uk
Louise Kosman;EH9 2BD;90030;90030;www.louisekosman.com
Lamp House Music;EH41 3PP;85590;"85590
90030";www.lamphousemusic.co.uk
Lang Syne Publishing;EH22 4NA;58110;"47190
58110";www.langsyneshop.co.uk
Magician Grant Mitchell;EH12 6XL;90030;90030;www.grantmitchell.co.uk
Northern Star;EH47 8PG;90030;90030;www.northernstar.co.uk
Edinburgh Life Magazine;EH22 9BD;58130;58130;www.edinburghlifemagazine.com
Damo & Marvo the Family Entertainers;EH41 3QS;90030;90030;www.damoandmarvo.co.uk
Mickmick Designs;EH54 6GU;18129;18129;www.mickmickdesigns.co.uk
The Edinburgh Fun Casino Company;EH6 6BU;90030;90030;www.edinburghfuncasinos.com
Star-ickle Face Painting;EH32 9AT;90030;90030;www.star-ickle.weebly.com
Stina Sparkles;EH54 5LG;90030;90030;www.stinasparkles.net
Hotscotch Ceilidh Band;EH28 8SQ;90030;"90030
96090";www.myceilidh.co.uk
United News High Court;EH1 2NT;63910;63910;
Families Edinburgh;EH7 4XL;58130;58130;www.familiesonline.co.uk
Paul Temple Magic;EH55 8BP;90030;90030;
Portrait Drawings by Elsa;EH45 9HT;90030;90030;www.flickr.com/elsavalentine
A K Press & Distribution;EH6 7BN;58110;58110;www.akuk.com
Young Perspective;EH16 5HQ;58130;58130;www.young-perspective.net
Freckles the Party Clown;EH47 8HD;90030;90030;www.frecklesthepartyclown.co.uk
Edinburgh Digital Printing;EH10 4JQ;18129;18129;
Santa Services;EH39 4JF;90030;90030;www.santaservices.co.uk
Charleston Entertainments Agency Scotland UK;EH16 5SY;93290;"90030
93290";www.charlestonentertainments.com
Consort Speaking;EH39 4NU;90030;90030;
The Knights Vault;EH1 2HH;90030;90030;www.theknightsvault.com
Automaton;EH3 6JQ;90030;"59112
90030";
Got Soul Choir;EH5 2FF;90030;"88990
90030";www.gotsoul.org.uk
Inchorus Choir;EH45 9BU;90030;90030;www.inchoruschoir.org
Verity Gibson;EH17 8LR;90030;"90030
96090";
Imvaize Music Group;EH16 4JX;90030;90030;
Aulos Productions;EH8 9NJ;90030;90030;www.aulosproductions.com
John Shepherd;EH26 8PW;82990;"63910
82990";
Wysewomen;EH14 1PP;58110;"58110
85590";
Moirmation;EH4 3NJ;90030;90030;
Connect Communications;EH6 5PH;58130;"58110
58130";www.connectcommunications.co.uk
Caricatures by Neil K Kempsell;EH16 5DF;90030;90030;www.mycaricatures.co.uk
Midget Moments;EH11 2SN;90030;90030;
3 D Laser Print;EH20 9LZ;18129;18129;
Dynamic Colour;EH6 4ER;18129;"18129
28230";
Edinburgh Art Festival;EH1 1RF;90030;"68202
90030";www.edinburghartfestival.com
Powderhall Bronze;EH5 1PN;90030;90030;www.powderhallbronze.co.uk
Krazee Capers;EH7 4JE;90030;"90030
93290";www.thelittleprincessstudio.com
The Siancio Singers;EH41 4LJ;90030;90030;www.sianciosingers.com
Pop Pout Experience;EH15 1PU;90030;90030;www.poppoutexperience.co.uk
Unison Kinneil Band;EH51 0LD;90030;90030;www.kinneilband.co.uk
Vue Entertainment;EH1 3EN;90030;"59140
90030";www.myvue.com
Scottish Face & Body Art;EH32 9HW;90030;90030;www.edinburghfacepainter.com
Badabing Live Music Bar & Grill;EH3 9QB;90030;"56302
90030";www.badabingedinburgh.com
Dods Group;EH8 8DP;58130;58130;www.dods.co.uk
Guy Kinder;EH10 5AZ;90030;90030;www.guykinder.co.uk
Printing Services Within the University of Edinburgh;EH1 1LT;18129;18129;www.ed.ac.uk/printing
New View;EH6 6ND;58110;"58110
58130";www.newview.org.uk
Dreadnoughtrock;EH48 1AX;90030;90030;www.dreadnoughtrock.com
Jim the Magician;EH2 2PR;90030;90030;www.beyondbeliefmagic.co.uk
Great Leap Forward;EH7 4JP;90030;90030;www.greatleapforward.co.uk
Silvano Entertainment;EH48 1LS;90030;90030;www.magicsilvano.com
Jennifer Thomson;EH4 6BN;90030;90030;www.jenniferthomson.com
Underground Live;EH8 9AJ;90030;90030;www.eusa.ed.ac.uk
Paramount Kids;EH17 7LG;90030;90030;www.paramountkids.co.uk
Print Sponge;EH4 1HN;18129;18129;www.printsponge.com
Innoslate;EH54 5DB;90030;"90030
93120";www.innoflate.co.uk
Goccopro UK;EH22 3NX;18129;18129;www.goccopro.co.uk
Edinburgh Printing;EH2 2ER;18129;18129;www.edinburghprinting.com
The Mousetrap;EH6 5EA;56302;"56302
90030";
The Print Toun;EH22 1JB;18129;"18129
77390";www.theprinttoun.co.uk
Harpist Edinburgh;EH4 2PQ;90030;90030;www.harpistedinburgh.co.uk
Psyber-tech 3d Printing;EH54 7DP;18129;18129;www.psyber-tech.co.uk
Holyrood Communication;EH8 8DP;94920;"58130
94920";www.holyrood.com
Jane Raven Art;EH7 4JE;90030;90030;www.janeravenart.co.uk
Blur Productions;EH7 5QZ;90030;90030;www.blurproductions.co.uk
John Young Group;EH1 2BW;47190;"18129
47190";www.johnyounggroup.co.uk
Golden Print;EH54 6GU;18129;"18129
82990";
Fern Glass;EH18 1AB;90030;90030;
DAVID MACDONALD LIMITED;EH4 2EH;18129;18129;www.davidmacdonald.ltd.uk
MEDQUEST GROUP LIMITED;EH2 2AF;58130;"58130
70100";www.dng24.co.uk
FARQUHAR & SON LIMITED;EH6 5BJ;18129;18129;www.farquhars.net
CHAPMAN, WATSON & CO. LIMITED;EH4 2EH;18129;18129;
TANTALLON PRESS, LIMITED;EH20 9LZ;18129;18129;www.tantallonpress.co.uk
IVANHOE PRINTING COMPANY LIMITED;EH21 7PE;18129;18129;www.ivanhoecaledonian.co.uk
PARAMOUNT PRINTERS LIMITED;EH6 5BJ;18129;18129;www.paramountprinters.co.uk
HANDSEL PRESS LIMITED (THE);EH41 3PJ;58110;58110;www.handselpress.org.uk
CORRIES (MUSIC) LTD., THE;EH21 8RY;90030;90030;
LANG SYNE PUBLISHERS LIMITED;EH22 4NA;46900;"46900
58110";www.langsyneshop.co.uk
THEATRE WORKSHOP SCOTLAND LIMITED;EH4 3BL;59111;"59111
90010
90030";www.theatre-workshop.com
MAINSTREAM PUBLISHING COMPANY (EDINBURGH) LIMITED;EH2 1LS;58110;58110;www.mainstreampublishing.com
LUATH PRESS LIMITED;EH1 2ND;58110;58110;www.luath.co.uk
CLUSTAN LIMITED;EH12 6HZ;14131;"14131
58110
62012
72190";www.clustan.com
JIM KERR MANAGEMENT CONSULTANCY LIMITED;EH4 3EP;90030;90030;
LIST LIMITED (THE);EH1 1TE;58142;"58142
63990";www.list.co.uk
VLEX JUSTIS LIMITED;EH2 4JN;58190;58190;www.justis.com
